company,status,zip,reason,birth,death,jurisdiction,jurisdictionType,lat,lng
THE RAILROAD EQUIPMENT COMPANY,ACTIVE,10005,NA,11/01/1892,NA,NEW JERSEY,domestic,40.7063533,-74.0099619
NICOLL & ROY COMPANY,ACTIVE,10007,NA,10/28/1892,NA,NEW JERSEY,domestic,40.710761,-74.01015869999999
THE UNITED STATES PRINTING COMPANY,ACTIVE,11211,NA,07/16/1892,NA,OHIO,domestic,40.7172133,-73.9624056
NATIONAL TUBE WORKS COMPANY,ACTIVE,10038,NA,07/19/1892,NA,NEW JERSEY,domestic,40.7093625,-74.00998369999999
IRVING PRESS,ACTIVE,10038,NA,07/22/1892,NA,NEW JERSEY,domestic,40.7078424,-74.0055508
HIGGINS SOAP COMPANY,ACTIVE,11217,NA,07/27/1892,NA,NEW JERSEY,domestic,40.6830691,-73.97418259999999
EMPIRE ADVERTISING SIGN WORKS,ACTIVE,10007,NA,12/12/1892,NA,NEW JERSEY,domestic,40.7138144,-74.00885989999999
THE SPOKANE FALLS AND NORTHERN RAILWAY COMPANY,ACTIVE,10038,NA,12/24/1892,NA,WASHINGTON,domestic,40.7071498,-74.0021019
THE HEERMANCE COMPANY,ACTIVE,10013,NA,12/24/1892,NA,NEW JERSEY,domestic,40.71684399999999,-74.0107809
THE ALABAMA TERMINAL & IMPROVEMENT COMPANY,ACTIVE,10005,NA,12/24/1892,NA,ALABAMA,domestic,40.7066886,-74.00998
THE CHAPMAN SLATE COMPANY,ACTIVE,10014,NA,12/24/1892,NA,PENNSYLVANIA,domestic,40.7381243,-74.00987839999999
KENTUCKY MINERAL AND TIMBER COMPANY,ACTIVE,10005,NA,12/24/1892,NA,NEW JERSEY,domestic,40.6998433,-74.0072436
WILLIAM HICKMAN & COMPANY,ACTIVE,10001,NA,01/18/1923,NA,DELAWARE,domestic,40.7482368,-73.9892914
WEST SIDE CONSTRUCTION COMPANY,ACTIVE,10005,NA,12/24/1892,NA,NEW JERSEY,domestic,40.7071708,-74.0108122
THE Q. N. EVANS CONSTRUCTION COMPANY,ACTIVE,10007,NA,12/24/1892,NA,NEW JERSEY,domestic,40.7109766,-74.01073099999999
THE FRIEDENSVILLE ZINC COMPANY,ACTIVE,10004,NA,12/24/1892,NA,PENNSYLVANIA,domestic,40.7025455,-74.013986
THE REND ROCK POWDER COMPANY,ACTIVE,10007,NA,12/24/1892,NA,NEW JERSEY,domestic,40.713352,-74.00863199999999
HILL & CORY COMPANY,ACTIVE,10007,NA,12/24/1892,NA,NEW JERSEY,domestic,40.7108016,-74.0103268
CLEARFIELD BITUMINOUS COAL CORPORATION,ACTIVE,10017,NA,12/24/1892,NA,PENNSYLVANIA,domestic,40.752998,-73.97705599999999
HOMER BROOKE MOULD COMPANY,ACTIVE,10007,NA,12/24/1892,NA,NEW JERSEY,domestic,40.71276599999999,-74.0097553
THE RAPID TRANSIT AND BRIDGE CONSTRUCTION COMPANY,ACTIVE,10005,NA,12/24/1892,NA,NEW JERSEY,domestic,40.7065445,-74.0108692
E. G. HARRINGTON & COMPANY,ACTIVE,10019,NA,12/24/1892,NA,NEW JERSEY,domestic,40.7600946,-73.9840452
THE MONTGOMERY TUSCALOOSA AND MEMPHIS RAILWAY COMPANY,ACTIVE,10005,NA,12/24/1892,NA,ALABAMA,domestic,40.7066886,-74.00998
THE GEORGE S. BRACHER MANUFACTURING COMPANY,ACTIVE,10012,NA,12/24/1892,NA,MAINE,domestic,40.72575870000001,-74.0037335
THE BUTLER HARDWARE COMPANY,ACTIVE,10005,NA,12/24/1892,NA,NEW JERSEY,domestic,40.7080095,-74.00995490000001
WISWALL PAINT COMPANY,ACTIVE,10030,NA,02/28/1907,NA,PENNSYLVANIA,domestic,40.8173827,-73.9387307
NATIONAL BRIDGE WORKS,ACTIVE,10010,NA,03/04/1907,NA,NEW JERSEY,domestic,40.7432513,-73.9893393
COLONIAL WORKS,ACTIVE,11222,NA,03/05/1907,NA,NEW JERSEY,domestic,40.7277879,-73.944159
THE DAYTON HYDRAULIC MACHINERY COMPANY,ACTIVE,10006,NA,03/09/1907,NA,OHIO,domestic,40.7131603,-74.01336529999999
JOHN PLATT & CO.,ACTIVE,10006,NA,03/11/1907,NA,NEW JERSEY,domestic,40.7096755,-74.0128378
MARCY FOUNDRY COMPANY,ACTIVE,10038,NA,03/18/1907,NA,NEW JERSEY,domestic,40.7071498,-74.0021019
THE BLAISDELL MACHINERY COMPANY,ACTIVE,10006,NA,03/19/1907,NA,PENNSYLVANIA,domestic,40.7099815,-74.0144728
BOWKER FERTILIZER COMPANY,ACTIVE,10006,NA,03/21/1907,NA,NEW JERSEY,domestic,40.7090537,-74.0121565
LINDEN CEMETERY ASSOCIATION,ACTIVE,10010,NA,03/23/1907,NA,NEW JERSEY,domestic,40.7417398,-73.9900986
ROSEDALE CEMETERY ASSOCIATION,ACTIVE,10010,NA,03/23/1907,NA,NEW JERSEY,domestic,40.7417398,-73.9900986
RAHNER COMPANY,ACTIVE,10007,NA,03/25/1907,NA,NEW JERSEY,domestic,40.7132703,-74.0080433
BOWKER INSECTICIDE COMPANY,ACTIVE,10006,NA,03/27/1907,NA,NEW JERSEY,domestic,40.7080331,-74.0130887
SAYRE ELECTRIC COMPANY,ACTIVE,10005,NA,03/28/1907,NA,PENNSYLVANIA,domestic,40.7057533,-74.00998369999999
PITTSBURG-DICK CREEK MINING COMPANY OF ALASKA,ACTIVE,11238,NA,04/03/1907,NA,ARIZONA,domestic,40.6863229,-73.9624108
STANDARD REMEDY COMPANY,ACTIVE,10011,NA,04/03/1907,NA,NEW JERSEY,domestic,40.746365,-74.001735
COLUMBIA PROPERTY CORPORATION,ACTIVE,10007,NA,04/05/1907,NA,NEW JERSEY,domestic,40.712063,-74.0080783
BROOKLYN COMMISSION COMPANY,ACTIVE,11201,NA,04/08/1907,NA,NEW JERSEY,domestic,40.6927256,-73.99112459999999
GRIFFITHS CO.,ACTIVE,10018,NA,04/17/1907,NA,ILLINOIS,domestic,40.750052,-73.9844421
THE NEWARK BLUE STONE COMPANY,ACTIVE,10007,NA,04/18/1907,NA,NEW JERSEY,domestic,40.714299,-74.0058154
A. H. WOODARD COMPANY,ACTIVE,10007,NA,04/18/1907,NA,NEW JERSEY,domestic,40.714299,-74.0058154
SWEELY SHIPMAN AND COMPANY,ACTIVE,10018,NA,04/22/1907,NA,ARIZONA,domestic,40.7533552,-73.98653139999999
S. J. ARONSOHN INC. COMPANY,ACTIVE,10013,NA,04/24/1907,NA,NEW JERSEY,domestic,40.7217809,-73.9999843
S. KEIGHLEY METAL CEILING AND MANUFACTURING COMPANY,ACTIVE,11211,NA,04/10/1907,NA,PENNSYLVANIA,domestic,40.708873,-73.96467830000002
MAGEE AND CROSBIE COMPANY,ACTIVE,10014,NA,04/30/1907,NA,NEW JERSEY,domestic,40.7393704,-74.0073515
SOCIETE GENERALE MEULIERE,ACTIVE,10004,NA,05/01/1907,NA,FRANCE,international,40.7035857,-74.0110316
THE UNION FORK AND HOE COMPANY,INACTIVE,10019,TERMINATION,05/03/1907,11/18/1987,OHIO,domestic,40.761923,-73.9843202
E. W. JACOBUS CO.,ACTIVE,10036,NA,05/09/1907,NA,NEW JERSEY,domestic,40.7547007,-73.9837261
N. P. PRATT LABORATORY,ACTIVE,10005,NA,05/14/1907,NA,GEORGIA,international,40.705627,-74.00763100000002
RIEGEL AND COMPANY,ACTIVE,10038,NA,05/15/1907,NA,NEW JERSEY,domestic,40.711196,-74.004834
TRINITY SPRINGS COMPANY,ACTIVE,10036,NA,05/16/1907,NA,NEW JERSEY,domestic,40.7591788,-73.9964428
MORGAN & WRIGHT,ACTIVE,10036,NA,05/20/1907,NA,MICHIGAN,domestic,40.7594121,-73.9851346
S. KARPEN & BROS.,ACTIVE,10001,NA,05/21/1907,NA,ILLINOIS,domestic,40.7505148,-73.98941599999999
AUGUSTANA BOOK CONCERN,ACTIVE,10013,NA,04/12/1907,NA,ILLINOIS,domestic,40.7180649,-74.00353849999999
BALTIMORE BRIDGE COMPANY,ACTIVE,10004,NA,06/03/1907,NA,DELAWARE,domestic,40.7051613,-74.0159706
THE NON-EXPLOSIVE SAFETY NAPHTHA CONTAINER COMPANY,ACTIVE,10010,NA,06/04/1907,NA,SOUTH DAKOTA,domestic,40.743786,-73.9893613
THE PROTECTION CHECK COMPANY,ACTIVE,10001,NA,06/04/1907,NA,SOUTH DAKOTA,domestic,40.747029,-73.9870937
THE TROY WAGON WORKS COMPANY,ACTIVE,11201,NA,06/04/1907,NA,OHIO,domestic,40.6920127,-73.9886846
THE SWITCHBOARD EQUIPMENT COMPANY,ACTIVE,10005,NA,06/10/1907,NA,PENNSYLVANIA,domestic,40.70747859999999,-74.011214
ESSEX MORTGAGE AND SECURITIES COMPANY,ACTIVE,10005,NA,06/13/1907,NA,DELAWARE,domestic,40.7074848,-74.0098933
PATHE FRERES,ACTIVE,10006,NA,06/15/1907,NA,NEW JERSEY,domestic,40.7080331,-74.0130887
THE JERSEY DISTRIBUTING COMPANY,ACTIVE,10004,NA,06/21/1907,NA,NEW JERSEY,domestic,40.7063478,-74.0111974
THE WARNER BAKING POWDER COMPANY,ACTIVE,10006,NA,06/24/1907,NA,NEW JERSEY,domestic,40.7090422,-74.0106759
THE UNIVERSAL DRUG & CHEMICAL COMPANY,ACTIVE,10019,NA,05/24/1907,NA,MAINE,domestic,40.7681394,-73.9849261
ALMA MANUFACTURING COMPANY OF BALTIMORE CITY,ACTIVE,10003,NA,07/02/1907,NA,MARYLAND,domestic,40.73039410000001,-73.99259119999999
CATCH-ON-CLASP MANUFACTURING COMPANY,ACTIVE,10003,NA,07/02/1907,NA,DELAWARE,domestic,40.73039410000001,-73.99259119999999
WATER-FRONT IMPROVEMENT COMPANY,ACTIVE,10038,NA,05/24/1907,NA,NEW JERSEY,domestic,40.7111223,-74.0088761
THE HALLS SAFE COMPANY,ACTIVE,10013,NA,07/15/1907,NA,OHIO,domestic,40.7217861,-74.0094471
A. E. SANDFORD COMPANY,ACTIVE,10036,NA,07/15/1907,NA,,domestic,40.7623178,-73.9978684
WOODWARD & TIERMAN PRINTING COMPANY,ACTIVE,10003,NA,07/15/1907,NA,,domestic,40.7379109,-73.99095600000001
SCOTT ELECTRICAL COMPANY,ACTIVE,10005,NA,07/16/1907,NA,MAINE,domestic,40.6998433,-74.0072436
THE AMERICAN FORGE & IRON COMPANY,ACTIVE,10005,NA,07/18/1907,NA,PENNSYLVANIA,domestic,40.7085885,-74.00942479999999
IMPERIAL CURTAIN COMPANY,ACTIVE,10001,NA,07/18/1907,NA,NEW JERSEY,domestic,40.747741,-73.992059
NORRISTOWN MAGNESIA AND ASBESTOS COMPANY,ACTIVE,10038,NA,07/19/1907,NA,PENNSYLVANIA,domestic,40.7074735,-74.00347769999999
ZANESVILLE TILE COMPANY,ACTIVE,10011,NA,07/24/1907,NA,OHIO,domestic,40.7436479,-73.9945631
WOOLSON AND DECK COMPANY,ACTIVE,10007,NA,07/26/1907,NA,NEW JERSEY,domestic,40.7103735,-74.01112350000001
MCKINLEY LEAD MINING COMPANY,ACTIVE,10005,NA,08/06/1907,NA,ARIZONA,domestic,40.70620539999999,-74.0085357
REPUBLIC WOOD PAVEMENT COMPANY,ACTIVE,10007,NA,08/07/1907,NA,NEW JERSEY,domestic,40.71477300000001,-74.00491000000001
DAVIS MAGNETIC CONTROL COMPANY,ACTIVE,10005,NA,08/08/1907,NA,ARIZONA,domestic,40.7057533,-74.00998369999999
NATIONAL TRADE SHOW CO.,ACTIVE,10038,NA,08/13/1907,NA,ILLINOIS,domestic,40.7115223,-74.0076244
INDIANA VENEER AND LUMBER COMPANY,ACTIVE,10016,NA,08/19/1907,NA,INDIANA,domestic,40.7418306,-73.9744557
F & D LIQUIDATING CORPORATION,ACTIVE,10007,NA,08/26/1907,NA,MAINE,domestic,40.7113424,-74.0105774
CHARLES H. FULLER COMPANY,ACTIVE,10010,NA,09/03/1907,NA,ILLINOIS,domestic,40.7408518,-73.98965640000002
CONROY BROTHERS INCORPORATED,ACTIVE,10038,NA,09/04/1907,NA,NEW JERSEY,domestic,40.7112942,-74.0062184
CHERRY RIVER BOOM AND LUMBER COMPANY,ACTIVE,10010,NA,09/05/1907,NA,WEST VIRGINIA,domestic,40.7411565,-73.986901
WISHARD SECURITIES COMPANY,ACTIVE,10010,NA,09/09/1907,NA,NEW JERSEY,domestic,40.7411565,-73.986901
THE AMERICAN BALCONIC ASSOCIATION,ACTIVE,10004,NA,09/17/1907,NA,ILLINOIS,domestic,40.7060605,-74.0140109
RHODES IMPROVED METALLIC PACKING COMPANY,ACTIVE,10006,NA,09/18/1907,NA,TEXAS,domestic,40.709329,-74.0131196
THE LEONARD SHEET METAL WORKS,ACTIVE,10010,NA,09/23/1907,NA,NEW JERSEY,domestic,40.73994640000001,-73.9848403
SEABOARD DELIVERY COMPANY,ACTIVE,10005,NA,09/23/1907,NA,MAINE,domestic,40.7085885,-74.00942479999999
WORMS AND LOEB,ACTIVE,10012,NA,08/01/1907,NA,ILLINOIS,domestic,40.7237695,-73.997891
THE SOUTHERN SUBSTITUTE TURPENTINE COMPANY,ACTIVE,10005,NA,09/25/1907,NA,DELAWARE,domestic,40.7054745,-74.007531
FRIEDE GLOBE TOWER COMPANY,ACTIVE,10005,NA,09/28/1907,NA,ARIZONA,domestic,40.7057533,-74.00998369999999
THE NATIONAL TRIPOLI COMPANY,ACTIVE,10013,NA,10/02/1907,NA,OHIO,domestic,40.718246,-74.009817
ALMA-EMPIRE CONSOLIDATED GOLD MINING COMPANY,ACTIVE,10004,NA,10/07/1907,NA,ARIZONA,domestic,40.7059909,-74.01214279999999
VEREININTE ULTRAMARINFABRIKEN AKTIEN-GESELLSCHAFT VORMALS LEVERKUS JELTNER & CONSORTEN,ACTIVE,10013,NA,10/07/1907,NA,GERMANY,international,40.7153962,-74.0026015
THE ROOKWOOD POTTERY COMPANY,ACTIVE,10010,NA,10/08/1907,NA,OHIO,domestic,40.7411565,-73.986901
DARCHE MFG.CO.,ACTIVE,10019,NA,10/11/1907,NA,ILLINOIS,domestic,40.7678169,-73.9857754
CASSELL & COMPANY LIMITED,ACTIVE,10003,NA,10/14/1907,NA,GABON,international,40.738183,-73.988648
NEW BRUNSWICK TILE CO.,ACTIVE,10007,NA,10/14/1907,NA,NEW JERSEY,domestic,40.71477300000001,-74.00491000000001
CAMPBELL-MACLAURIN LUMBER COMPANY-(LIMITED),ACTIVE,10010,NA,10/16/1907,NA,,domestic,40.7411565,-73.986901
UNITED BOTTLE SEAL COMPANY,ACTIVE,10017,NA,10/18/1907,NA,MAINE,domestic,40.7546308,-73.98003419999999
T. J. FANNING INC.,ACTIVE,10036,NA,10/01/1907,NA,NEW JERSEY,domestic,40.7569098,-73.9911176
JOSEPH WALTER BOX COMPANY,ACTIVE,10007,NA,10/19/1907,NA,NEW JERSEY,domestic,40.71431889999999,-74.0092932
MANHATTAN COBALT LIMITED,ACTIVE,10110,NA,10/25/1907,NA,NEW JERSEY,domestic,40.7539609,-73.9810495
HUGO VON HAGEN EXPLORATION COMPANY,ACTIVE,10110,NA,09/27/1907,NA,MAINE,domestic,40.7539609,-73.9810495
THE GEO. H. BOWMAN COMPANY,ACTIVE,10007,NA,10/28/1907,NA,OHIO,domestic,40.7139609,-74.0091235
WAUKESHA CLEAR ROCK WATER CO.,ACTIVE,10010,NA,10/29/1907,NA,NEW JERSEY,domestic,40.743786,-73.9893613
UNITED STATES DOLOMENT COMPANY LIMITED,ACTIVE,10010,NA,09/27/1907,NA,GABON,international,40.7408518,-73.98965640000002
UNITED SALES COMPANY,ACTIVE,10017,NA,11/08/1907,NA,MAINE,domestic,40.7546308,-73.98003419999999
W. M. OSTRANDER INCORPORATED,ACTIVE,10016,NA,11/20/1907,NA,NEW JERSEY,domestic,40.75132,-73.9821446
TELHARMONIC SECURITIES COMPANY,ACTIVE,10004,NA,11/21/1907,NA,NEW JERSEY,domestic,40.7057766,-74.0114409
A. J. ELLIS INCORPORATED,ACTIVE,10038,NA,01/27/1908,NA,NEW JERSEY,domestic,40.7096242,-74.0098678
R. B. MACLEA CO.,ACTIVE,10013,NA,11/14/1907,NA,NEW JERSEY,domestic,40.716918,-74.005341
ELLIS-FOSTER COMPANY,ACTIVE,10038,NA,11/23/1907,NA,NEW JERSEY,domestic,40.7084158,-74.0072149
BLANC STAINLESS CEMENT COMPANY,ACTIVE,10001,NA,11/25/1907,NA,NEW JERSEY,domestic,40.746979,-73.98641099999999
MANLY DRIVE COMPANY,ACTIVE,10004,NA,11/29/1907,NA,NEW JERSEY,domestic,40.7051613,-74.0159706
THE ADOLPH RAUDNITZ COMPANY,ACTIVE,10012,NA,12/02/1907,NA,NEW JERSEY,domestic,40.722913,-73.99932
THE BUCKEYE CLUB OF NEW YORK COMPANY,ACTIVE,10005,NA,12/09/1907,NA,OHIO,domestic,40.70597679999999,-74.0103918
IRON ROCK MINERAL SPRINGS COMPANY,ACTIVE,10007,NA,12/12/1907,NA,NEW JERSEY,domestic,40.7167789,-74.0120307
THE TEXTILE BRAID MANUFACTURING COMPANY,ACTIVE,10003,NA,12/13/1907,NA,CONNECTICUT,domestic,40.73011260000001,-73.99420239999999
MONARCH COATED PAPER COMPANY,ACTIVE,10017,NA,12/20/1907,NA,MAINE,domestic,40.7525775,-73.9794302
AMERICAN LETTER COMPANY,ACTIVE,10038,NA,12/21/1907,NA,NEW JERSEY,domestic,40.708721,-74.00536090000001
THE UNITED STATES UMBRELLA COMPANY,ACTIVE,10013,NA,11/15/1907,NA,NEW JERSEY,domestic,40.7184985,-74.0058217
DOWNER HAWES & CO. INCORPORATED,ACTIVE,10018,NA,12/31/1907,NA,CONNECTICUT,domestic,40.7521406,-73.98443189999999
EAGLE TUBE COMPANY,ACTIVE,10038,NA,01/03/1908,NA,DELAWARE,domestic,40.711196,-74.004834
MEYERS-ROGERS PROJECTILE COMPANY,ACTIVE,10006,NA,01/06/1908,NA,WASHINGTON,domestic,40.7101024,-74.0125528
WESTERN FOUNDRY SUPPLY COMPANY,ACTIVE,10038,NA,01/07/1908,NA,MISSOURI,domestic,40.70805960000001,-74.005955
THE WINANS COMPANY,ACTIVE,10013,NA,01/11/1908,NA,NEW JERSEY,domestic,40.7182931,-74.0070195
CENTRAL RADIATOR COMPANY,ACTIVE,10005,NA,12/05/1905,NA,NEW JERSEY,domestic,40.7065524,-74.0101174
MICHIGAN WAGON AND MANUFACTURING COMPANY,ACTIVE,10038,NA,01/13/1908,NA,MICHIGAN,domestic,40.7114819,-74.005956
AMERICAN SOAPSTONE COMPANY,ACTIVE,11217,NA,01/22/1908,NA,ARIZONA,domestic,40.6853709,-73.9753563
THE CHRISTIAN MOERLEIN BREWING COMPANY,ACTIVE,10001,NA,01/22/1908,NA,OHIO,domestic,40.7522768,-74.0026858
RICHARD D. KIMBALL CO.,ACTIVE,10011,NA,01/23/1908,NA,MASSACHUSETTS,domestic,40.7409573,-74.0021187
THE PAUL R. G. HORST COMPANY,ACTIVE,10005,NA,01/27/1908,NA,CONNECTICUT,domestic,40.7062023,-74.00915320000001
THE SCHWAB-KEPNER COMPANY,ACTIVE,10013,NA,01/29/1908,NA,NEW JERSEY,domestic,40.7168247,-74.0036035
THE FRENCH GAME AND TOY COMPANY LIMITED,ACTIVE,10010,NA,01/30/1908,NA,ARIZONA,domestic,40.740787,-73.988507
A. H. MEYER COMPANY,ACTIVE,10007,NA,01/17/1908,NA,NEW JERSEY,domestic,40.7120325,-74.0081289
THE DIRECTOYU COMPANY,ACTIVE,10005,NA,02/08/1908,NA,MASSACHUSETTS,domestic,40.7065524,-74.0101174
THE DECORATORS SUPPLY COMPANY,ACTIVE,10018,NA,02/10/1908,NA,ILLINOIS,domestic,40.7578073,-73.9996908
UNITED STATES PAPER EXPORT ASSOCIATION,ACTIVE,10004,NA,02/10/1908,NA,DELAWARE,domestic,40.7051613,-74.0159706
EAST JERSEY RAILROAD AND TERMINAL COMPANY,ACTIVE,10004,NA,02/11/1908,NA,NEW JERSEY,domestic,40.7051613,-74.0159706
THE NORTHERN COAL COMPANY LIMITED,ACTIVE,10004,NA,02/13/1908,NA,CANADA,international,40.7060887,-74.0111372
UNITED STATES AUTOMATIC VENDING COMPANY,ACTIVE,10005,NA,02/13/1908,NA,MAINE,domestic,40.7083939,-74.0091064
THE CELTIC COMPANY,ACTIVE,10005,NA,07/27/1914,NA,ILLINOIS,domestic,40.706496,-74.009113
THE ROCKAWAY ROLLING MILL,ACTIVE,10005,NA,02/19/1908,NA,NEW JERSEY,domestic,40.7087909,-74.0096038
FULLER ENGINEERING COMPANY,ACTIVE,10007,NA,02/20/1908,NA,PENNSYLVANIA,domestic,40.7142104,-74.0086991
THE HINDS CONSOLIDATED MINING COMPANY,ACTIVE,10005,NA,01/20/1908,NA,GEORGIA,international,40.707491,-74.0116385
PHOENIX SOAPSTONE COMPANY,ACTIVE,10007,NA,04/22/1908,NA,NEW JERSEY,domestic,40.7137833,-74.00709290000002
HIRES CONDENSED MILK COMPANY,ACTIVE,10007,NA,03/09/1908,NA,PENNSYLVANIA,domestic,40.7139271,-74.0108163
THE COMMERCIAL BUREAU COMPANY,ACTIVE,10006,NA,03/11/1908,NA,DELAWARE,domestic,40.7099815,-74.0144728
WHITE CROSS TOILET POWDER COMPANY,ACTIVE,10019,NA,02/25/1908,NA,NEW JERSEY,domestic,40.7686218,-73.9894273
HOLLAND THREAD COMPANY INC.,ACTIVE,10001,NA,03/18/1908,NA,NEW JERSEY,domestic,40.7504381,-73.9872851
MASSACHUSETTS CHEMICAL COMPANY,ACTIVE,10005,NA,03/19/1908,NA,MAINE,domestic,40.70620539999999,-74.0085357
THE SUMMIT SILK COMPANY,ACTIVE,10013,NA,03/19/1908,NA,NEW JERSEY,domestic,40.723068,-74.001897
ARIZONA COPPER BELT MINING COMPANY,ACTIVE,10003,NA,03/20/1908,NA,ARIZONA,domestic,40.73600280000001,-73.9895233
MONOLITHIC HOLLOW WALL COMPANY,ACTIVE,10001,NA,03/23/1908,NA,SOUTH DAKOTA,domestic,40.749813,-73.986842
HUDSON ENGINEERING COMPANY,ACTIVE,10006,NA,03/25/1908,NA,NEW JERSEY,domestic,40.709329,-74.0131196
E. ZELLWEGER & CO. A. G.,ACTIVE,10013,NA,03/26/1908,NA,,domestic,40.7218616,-74.0001423
TABRIZ RENOVATING COMPANY,ACTIVE,10003,NA,03/28/1908,NA,NEW JERSEY,domestic,40.7380362,-73.99006609999999
CLARK DAY & CO.,ACTIVE,10038,NA,04/07/1908,NA,NEW JERSEY,domestic,40.7093658,-74.0090051
TACONY IRON COMPANY,ACTIVE,10005,NA,04/17/1908,NA,PENNSYLVANIA,domestic,40.7081032,-74.0098265
BROOKCHESTER LAND COMPANY,ACTIVE,10001,NA,04/28/1908,NA,NEW JERSEY,domestic,40.7495102,-73.9870698
HUGH M. CREIGHTON COMPANY,ACTIVE,10004,NA,03/03/1908,NA,ARIZONA,domestic,40.7060887,-74.0111372
NATIONAL WIRE BOUND BOX COMPANY,ACTIVE,10013,NA,04/28/1908,NA,INDIANA,domestic,42.901673,-78.843824
TOUCHE NIVEN & COMPANY,ACTIVE,10004,NA,04/30/1908,NA,DELAWARE,domestic,40.7061121,-74.01153459999999
INTERNATIONAL SPRINKLER COMPANY,ACTIVE,10038,NA,05/01/1908,NA,PENNSYLVANIA,domestic,40.7093405,-74.00697199999999
THE PALM BROTHERS COMPANY,ACTIVE,10007,NA,05/04/1908,NA,OHIO,domestic,40.7156475,-74.0098951
THE KEYSTONE AUDIT COMPANY,ACTIVE,10010,NA,05/07/1908,NA,PENNSYLVANIA,domestic,40.7411565,-73.986901
THE FERRO MACHINE AND FOUNDRY COMPANY,ACTIVE,10007,NA,05/07/1908,NA,OHIO,domestic,40.7103735,-74.01112350000001
THE JOHN PINCHES COMPANY,ACTIVE,10010,NA,05/09/1908,NA,CONNECTICUT,domestic,40.7411565,-73.986901
HAMMOND KNOWLTON AND COMPANY,ACTIVE,10003,NA,05/12/1908,NA,CONNECTICUT,domestic,40.7331163,-73.9913067
CARR & BALL,ACTIVE,10005,NA,04/16/1908,NA,NEW JERSEY,domestic,40.7077016,-74.0111536
AJAX GRAPPLE HOOK COMPANY,ACTIVE,10006,NA,05/14/1908,NA,NEW JERSEY,domestic,40.7090422,-74.0106759
HAWKEYE PEARL BUTTON COMPANY,ACTIVE,10013,NA,05/15/1908,NA,IOWA,domestic,40.7184839,-74.0024416
INDIANAPOLIS RUBBER COMPANY,ACTIVE,10023,NA,05/15/1908,NA,INDIANA,domestic,40.7687899,-73.9824996
AMERICAN WIRE FENCE COMPANY,ACTIVE,10001,NA,05/26/1908,NA,ILLINOIS,domestic,40.74791219999999,-73.9872773
CONATINENTAL RUBBER COMPANY,ACTIVE,10006,NA,05/29/1908,NA,NEW JERSEY,domestic,40.7085538,-74.01133229999999
CAFETAL CARLOTA COMPANY,ACTIVE,10004,NA,06/02/1908,NA,ILLINOIS,domestic,40.7060887,-74.0111372
